time,strain,signal_type,experiment_type,signal_value
0.1666666667,HXT4_GFP_std1_delta,processed_cy5,hat_glucose_0p2_percent,618.1817898500001
0.25,HXT4_GFP,cy5,hat_glucose_0p2_percent,737.8823012800001
0.25,HXT4_GFP,fluorescence,hat_glucose_0p2_percent,0.013043180184
0.25,HXT4_GFP,fluorescence_sem,hat_glucose_0p2_percent,0.045228834036
0.25,HXT4_GFP,glucose_proxy,hat_glucose_0p2_percent,0.0
0.25,HXT4_GFP,processed_cy5,hat_glucose_0p2_percent,737.5309263
0.25,HXT4_GFP_mig1_delta,cy5,hat_glucose_0p2_percent,858.24456515
0.25,HXT4_GFP_mig1_delta,fluorescence,hat_glucose_0p2_percent,0.014289185351000001
0.25,HXT4_GFP_mig1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.04266413839
0.25,HXT4_GFP_mig1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.25,HXT4_GFP_mig1_delta,processed_cy5,hat_glucose_0p2_percent,879.7093518500001
0.25,HXT4_GFP_mth1_delta,cy5,hat_glucose_0p2_percent,709.1228070499999
0.25,HXT4_GFP_mth1_delta,fluorescence,hat_glucose_0p2_percent,5.124249509
0.25,HXT4_GFP_mth1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.7449528548
0.25,HXT4_GFP_mth1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.25,HXT4_GFP_mth1_delta,processed_cy5,hat_glucose_0p2_percent,819.1245888000001
0.25,HXT4_GFP_rgt2_delta,cy5,hat_glucose_0p2_percent,896.4541665
0.25,HXT4_GFP_rgt2_delta,fluorescence,hat_glucose_0p2_percent,0.009713214029
0.25,HXT4_GFP_rgt2_delta,fluorescence_sem,hat_glucose_0p2_percent,0.048481753775000004
0.25,HXT4_GFP_rgt2_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.25,HXT4_GFP_rgt2_delta,processed_cy5,hat_glucose_0p2_percent,784.305137825
0.25,HXT4_GFP_snf3_delta,cy5,hat_glucose_0p2_percent,619.7824074
0.25,HXT4_GFP_snf3_delta,fluorescence,hat_glucose_0p2_percent,0.0
0.25,HXT4_GFP_snf3_delta,fluorescence_sem,hat_glucose_0p2_percent,0.04301114556
0.25,HXT4_GFP_snf3_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.25,HXT4_GFP_snf3_delta,processed_cy5,hat_glucose_0p2_percent,616.6226679250001
0.25,HXT4_GFP_std1_delta,cy5,hat_glucose_0p2_percent,624.1053571499999
0.25,HXT4_GFP_std1_delta,fluorescence,hat_glucose_0p2_percent,0.0
0.25,HXT4_GFP_std1_delta,fluorescence_sem,hat_glucose_0p2_percent,0.048090596175
0.25,HXT4_GFP_std1_delta,glucose_proxy,hat_glucose_0p2_percent,0.0
0.25,HXT4_GFP_std1_delta,processed_cy5,hat_glucose_0p2_percent,618.1817898500001
0.3333333333,HXT4_GFP,cy5,hat_glucose_0p2_percent,730.61891892
0.3333333333,HXT4_GFP,fluorescence,hat_glucose_0p2_percent,0.034368537798
